County,Registrations
Adams,10
Ashland,10
Barron,13
Bayfield,10
Brown,75
Buffalo,10
Burnett,10
Calumet,10
Chippewa,18
Clark,10
Columbia,11
Crawford,10
Dane,93
Dodge,17
Door,10
Douglas,16
Dunn,10
Eau Claire,23
Florence,10
Fond du Lac,23
Forest, 0
Grant,10
Green,10
Green Lake, 0
Iowa,10
Iron,10
Jackson,11
Jefferson,10
Juneau,10
Kenosha,57
Kewaunee,10
La Crosse,33
Lafayette,10
Lake,10
Langlade,10
Lincoln,10
Manitowoc,21
Marathon,41
Marinette,10
Marquette,10
McDonald,10
Menominee,10
Milwaukee,411
Monroe,10
Oconto,10
Oneida,10
Outagamie,51
Ozaukee,33
Pepin,10
Pierce,12
Polk,14
Portage,13
Price,10
Racine,66
Richland,10
Rock,44
Rusk,10
Saint Croix,29
Saint Louis,10
Sauk,10
Sawyer,10
Shawano,11
Sheboygan,40
Taylor,10
Trempealeau,10
Vernon,10
Vilas,10
Walworth,14
Washburn,10
Washington,39
Waukesha,113
Waupaca,15
Waushara,10
Winnebago,48
Wood,20
